,name,birth,death,link,location,description
24,Isaac Luria (AriZal),1534,1572,https://en.wikipedia.org/wiki/Isaac_Luria,,"16th-century holy land mystic, founder of lurianic kabbalah"
25,Solomon Luria (Maharshal),1510,1573,https://en.wikipedia.org/wiki/Solomon_Luria,,16th-century posek and talmudist
26,Menasseh Ben Israel,1604,1657,https://en.wikipedia.org/wiki/Menasseh_Ben_Israel,,17th-century dutch rabbi and advocate of resettlement in england
27,David Pardo,1591,1657,"https://en.wikipedia.org/wiki/David_Pardo_(Dutch_rabbi,_born_at_Salonica)",,"Dutch rabbi, born in salonica"
28,Joseph Pardo,1561,1619,https://en.wikipedia.org/wiki/Joseph_Pardo_(rabbi),,Italian rabbi and merchant
29,Samuel Schotten,1644,1719,https://en.wikipedia.org/wiki/Samuel_Schotten,,17th-century rabbi of the grand duchy of hesse-darmstadt
30,Shalom Shachna,1495,1558,https://en.wikipedia.org/wiki/Shalom_Shachna,,
31,Obadiah ben Jacob Sforno (Sforno),1475,1550,https://en.wikipedia.org/wiki/Obadiah_ben_Jacob_Sforno,,16th-century italian scholar and rationalist
32,Hayyim ben Joseph Vital,1542,1620,https://en.wikipedia.org/wiki/Hayyim_ben_Joseph_Vital,,16th-century kabbalist
33,Mordecai Yoffe (Levush),1530,1612,https://en.wikipedia.org/wiki/Mordecai_Yoffe,,"16th–17th-century polish rabbi, codifier of halakha"
34,Hayyim Abraham Israel ben Benjamin Ze’evi,1650,1731,https://en.wikipedia.org/wiki/Hayyim_Abraham_Israel_ben_Benjamin_Ze%E2%80%99evi,,Palestinian rabbi
35,Ephraim Zalman Shor,1550,1633,https://en.wikipedia.org/wiki/Ephraim_Zalman_Shor,,Czech rabbi
36,Simcha Rappaport,1650,1718,https://en.wikipedia.org/wiki/Simcha_Rappaport,,Ukrainian rabbi
